ブロードキャストドメインを分割する装置はどれか？,ブリッジ,ルーター,ハブ,マングース
ハブの正しい特徴はどれか？,IPアドレスを見て出力ポートを決める,受信ポート以外の全ポートからデータを送信する,MACアドレスを見て出力ポートを決める,IPアドレスとACLを見て出力ポートを決める
MMFと比較した場合のSMFの特徴はどれか？,安価である,長距離伝送に向いている,データがクラッドを通る,複数の伝送モードを提供する
光ケーブルの取り扱い時の注意と関係ないものはどれか？,折り曲げてはいけない,俺より先に寝てはいけない,光ケーブルの端子部分をのぞき込んではいけない,光ケーブルの端子部分をベタベタ触ってはいけない
ベストエフォート型の正しい特徴はどれか？,通信速度が保証される通信である,品質が保証されない通信である,通信速度と品質の両方が保証される通信である,TCPで動く通信である
トランスポート層のプロトコルはどれか？,IP,TCP,OSPF,ICMP
データリンク層で通信の宛先に使う情報はどれか？,IPアドレス,MACアドレス,ポート番号,第六感!
イーサネットフレームのFCSの正しい役割はどれか？,データの種類を表す,データが壊れた際の検知,宛先の情報,ネクストホップの情報
TCP通信開始時のコネクション確立の事をなんというか？,2ウェイハンドシェイク,3ウェイハンドシェイク,PtoPハンドシェイク,ハンドシェイク
TCPを使うプロトコルはどれか？,RTP,HTTP,SNMP,DHCP
UDPの特徴ではないものはどれか？,リアルタイム通信に適している,コネクションの確立,速度重視,トランスポート層のプロトコル
192.168.22.45/29のネットワークアドレスはどれか？,192.168.22.41,192.168.22.40,192.168.22.48,192.168.22.47
116.18.211.45/17のネットワークアドレスはどれか？,116.18.255.0,116.18.128.0,116.18.0.0,116.18.192.0
116.18.211.45/17のブロードキャストアドレスはどれか？,116.18.0.255,116.18.255.255,116.18.128.255,116.18.1.255
クラスの境界を無視したサブネットマスクの表記をなんと言うか？,COLA,CIDR,BIER,SAKE
グローバルアドレスの正しい特徴はどれか？,インターネットで使えない,自由に割り当てることが出来ない,ネットワークが接続されていなければ同じアドレスが使える,グローバルアドレスなんて存在しない!
IPv4ローカルアドレスをはどれか？,171.17.31.40,172.17.31.40,172.15.31.40,172.32.31.40
IPv4グローバルアドレスをはどれか？,10.1.1.1,200.1.1.1,192.168.1.1,172.16.1.1
IPv6アドレスのビット長はいくつか？,64,128,32,16
IPv6アドレスにはないアドレス種別はどれか？,エニーキャストアドレス,ブロードキャストアドレス,マルチキャストアドレス,ユニキャストアドレス
IPv6アドレスでグループの中で最も近いデバイスと通信を行うためのアドレスはどれか？,グループキャストアドレス,エニーキャストアドレス,マルチキャストアドレス,ユニキャストアドレス
IPv6グローバルアドレスの範囲はどれか？,fe80::/10,2000::/3,ff00::/8,192.168.1.0/24
特権モードを表す記号はのどれか？,ホスト名>,ホスト名#,ホスト名(config)#,ホスト名(config-router)#
コンフィギュレーションモードに移行するコマンドはどれか？,enable,configure terminal,interface ethernet1/1,config
Cat9300にホスト名SW1を設定するコマンドはどれか？,Cat9300#hostname SW1,Cat9300(config)#hostname SW1,Cat9300(config)#host SW1,Cat9300#hostSW1
コマンドを入力途中に?キーを押すとどうなるか？,マニュアルが表示される,入力候補が表示される,対話モードに移行する,何も起きない
running-configについての説明について正しいものを選択してください,ルーターを起動や再起動した時に使用するconfig,現在、動いているconfig,ルーターを初期化した時に使用するconfig,コンフィギュレーションモードで設定したconfig
startup-configについての説明について正しいものを選択してください,コンフィギュレーションモードで設定したconfig,ルーターを起動や再起動した時に使用するconfig,現在、動いているconfig,ルーターを初期化した時に使用するconfig
